reservation_id,customer_id,nombre_cliente,email,pais,restaurant_id,date_id,channel_id,guests,total_spent,status
R1802,C1483,Michele Drake,ifarmer@patterson.com,Denmark,REST001,D20250816,CH3,3,170.94,Confirmada
R1191,C1358,David Morgan,williamgray@griffin-gutierrez.com,Gambia,REST001,D20250822,CH2,5,1287.48,Confirmada
R1818,C1525,Melissa Stanley DVM,joshuaclements@cox.org,Morocco,REST002,D20250817,CH3,4,380.83,Confirmada
R0252,C1744,Matthew Hall,joseph20@sims-harrison.com,Romania,REST004,D20250822,CH2,4,678.35,Confirmada
R2506,C1622,Nicholas Gonzalez,jonesjoe@nguyen.info,Saint Vincent and the Grenadines,REST003,D20250810,CH2,4,111.68,Confirmada
R1118,C1627,Richard Anderson,alexandria29@hotmail.com,Mauritius,REST004,D20250822,CH1,1,288.23,Confirmada
R1412,C1711,Johnny Carey,zscott@snyder-clark.org,South Georgia and the South Sandwich Islands,REST003,D20250812,CH2,1,91.33,Confirmada
R2114,C1191,Kaitlyn Hughes,campbelljohn@yahoo.com,Sierra Leone,REST002,D20250822,CH1,5,0.0,No Show
R0409,C1877,Miss Kathryn Crosby,xfoster@nelson.biz,Gambia,REST004,D20250824,CH3,5,562.3,Confirmada
R2580,C1307,Lisa Compton,pattersonjohn@hines-castillo.com,Dominican Republic,REST003,D20250827,CH2,1,121.3,Confirmada
R2255,C1252,Theresa Williamson,jason39@barrett.com,Comoros,REST003,D20250818,CH2,3,241.0,Confirmada
R0053,C1392,Cynthia Andrews,simsmelissa@hotmail.com,Niue,REST002,D20250820,CH2,1,0.0,Cancelada
R0645,C1016,Dawn Gregory,joshuamatthews@lyons-lam.net,Portugal,REST001,D20250816,CH1,5,1472.61,Confirmada
R1764,C1683,Chelsea Garcia,nicole33@hotmail.com,Croatia,REST002,D20250827,CH3,4,501.17,Confirmada
R2777,C1899,Alicia Kidd,ssmith@mason-lynn.com,Aruba,REST003,D20250826,CH2,1,203.93,Confirmada
R0901,C1633,Katherine Brown MD,qcox@meyer.org,Sierra Leone,REST004,D20250816,CH3,1,290.26,Confirmada
R1074,C1051,Elijah Brown,christopherhuang@yahoo.com,Mongolia,REST004,D20250815,CH2,4,881.21,Confirmada
R0473,C1559,Michael Moore,alyssa68@gmail.com,Serbia,REST003,D20250813,CH3,1,109.28,Confirmada
R2739,C1013,Brandon Norton,michelefreeman@hotmail.com,Madagascar,REST002,D20250825,CH1,5,1142.48,Confirmada
R2547,C1846,Sarah Obrien,tcobb@hotmail.com,Equatorial Guinea,REST004,D20250825,CH1,2,338.9,Confirmada
R0045,C1469,Kathleen Abbott,janicepham@roth.com,Benin,REST003,D20250823,CH1,1,162.47,Confirmada
R0290,C1380,Timothy Obrien,andrewcastillo@hotmail.com,Ethiopia,REST003,D20250815,CH1,3,0.0,Cancelada
R0913,C1730,Michael Johnson,jason04@gmail.com,Brazil,REST003,D20250825,CH3,5,1104.45,Confirmada
R2084,C1332,Dana Crane,dianatucker@yahoo.com,Nicaragua,REST002,D20250827,CH1,2,410.33,Confirmada
R1361,C1507,Michael Gibson,hbaker@yahoo.com,Libyan Arab Jamahiriya,REST004,D20250813,CH3,5,0.0,Cancelada
R2896,C1801,William Gonzales,nsnyder@estrada.net,Svalbard & Jan Mayen Islands,REST001,D20250818,CH2,2,351.08,Confirmada
R2604,C1456,Kevin Pearson,kimberly56@hotmail.com,Cote d'Ivoire,REST001,D20250823,CH2,4,0.0,No Show
R1227,C1249,Shawn Chavez,anthony16@hernandez-park.com,Wallis and Futuna,REST002,D20250825,CH1,3,382.37,Confirmada
R0297,C1042,Kent Travis,mhernandez@yahoo.com,Maldives,REST001,D20250825,CH2,5,767.37,Confirmada
R1242,C1988,Shannon Sparks,michaellawson@hotmail.com,Kenya,REST002,D20250822,CH2,5,1406.78,Confirmada
R1006,C1309,Karen Wright,johnhernandez@hicks.com,Bermuda,REST002,D20250825,CH3,2,0.0,Cancelada
R1666,C1998,Cody Peters,ecook@todd-carlson.biz,Palestinian Territory,REST003,D20250824,CH1,2,477.89,Confirmada
R0747,C1860,Thomas Ellison,bookerjuan@yahoo.com,Greenland,REST001,D20250814,CH3,5,1472.8,Confirmada
R2852,C1390,Joseph Kelley,patricia47@key.biz,Finland,REST003,D20250816,CH3,1,273.87,Confirmada
R0292,C1640,Nichole Riley,moralesmatthew@warren-mcdaniel.info,South Africa,REST001,D20250816,CH3,3,0.0,Cancelada
